state,facilities,certified_beds,facilities_fined,pct_facilities_fined,fines,fines_per_100_facilities,total_fines_dollars,fines_dollars_per_facility,fines_dollars_per_bed,payment_denials,denials_per_100_facilities,pct_with_any_penalty,sff_or_candidate,abuse_icon_facilities,avg_overall_rating,suppressed
AK,20,815,6,30.0,12,60.0,640818.0,32041.0,786.0,3,15.0,35.0,0,1,3.45,False
AL,224,26504,38,17.0,82,36.6,3059355.0,13658.0,115.0,15,6.7,17.4,6,12,3.0,False
AR,221,24167,70,31.7,103,46.6,2053646.0,9293.0,85.0,12,5.4,31.7,6,7,3.41,False
AZ,140,15984,39,27.9,67,47.9,1212825.0,8663.0,76.0,5,3.6,27.9,6,39,3.32,False
CA,1165,114991,474,40.7,1027,88.2,28736255.0,24666.0,250.0,283,24.3,42.7,36,113,3.16,False
CO,210,19757,129,61.4,251,119.5,4957917.0,23609.0,251.0,32,15.2,63.3,5,49,3.13,False
CT,191,22535,108,56.5,174,91.1,4497715.0,23548.0,200.0,13,6.8,56.5,6,45,2.99,False
DC,17,2485,11,64.7,24,141.2,1454987.0,85587.0,586.0,4,23.5,64.7,0,2,3.35,False
DE,44,4717,32,72.7,65,147.7,3121569.0,70945.0,662.0,6,13.6,72.7,6,8,3.28,False
FL,694,84537,269,38.8,627,90.3,17379942.0,25043.0,206.0,17,2.4,38.9,18,47,3.27,False
GA,356,39494,123,34.6,218,61.2,4742821.0,13323.0,120.0,41,11.5,36.0,11,21,2.64,False
GU,1,40,1,100.0,1,100.0,13247.0,13247.0,331.0,1,100.0,100.0,0,0,3.0,True
HI,43,4248,22,51.2,28,65.1,810401.0,18847.0,191.0,0,0.0,51.2,6,0,3.56,False
IA,387,25131,140,36.2,223,57.6,7486404.0,19345.0,298.0,73,18.9,40.6,12,17,3.07,False
ID,80,6113,28,35.0,47,58.8,1089004.0,13613.0,178.0,0,0.0,35.0,6,7,3.14,False
IL,666,84975,457,68.6,1469,220.6,75126367.0,112802.0,884.0,492,73.9,71.9,24,183,2.55,False
IN,507,48825,92,18.1,128,25.2,4160334.0,8206.0,85.0,41,8.1,21.3,18,32,3.14,False
KS,296,18044,150,50.7,326,110.1,6098543.0,20603.0,338.0,38,12.8,51.0,11,23,3.11,False
KY,267,25368,91,34.1,195,73.0,4445005.0,16648.0,175.0,26,9.7,34.1,6,5,3.01,False
LA,265,32291,130,49.1,238,89.8,12483516.0,47108.0,387.0,44,16.6,50.9,6,16,2.52,False
MA,341,40961,165,48.4,265,77.7,11793157.0,34584.0,288.0,8,2.3,49.0,12,7,3.04,False
MD,221,27307,87,39.4,136,61.5,4648190.0,21033.0,170.0,9,4.1,39.4,6,30,3.13,False
ME,78,5830,28,35.9,32,41.0,579654.0,7431.0,99.0,9,11.5,35.9,6,1,3.09,False
MI,422,44005,165,39.1,298,70.6,12956259.0,30702.0,294.0,162,38.4,46.4,12,62,3.12,False
MN,338,24060,143,42.3,287,84.9,7791940.0,23053.0,324.0,62,18.3,46.2,12,22,3.15,False
MO,487,50043,207,42.5,425,87.3,17871724.0,36698.0,357.0,154,31.6,45.2,18,64,2.51,False
MS,202,17496,110,54.5,225,111.4,3723231.0,18432.0,213.0,22,10.9,54.5,6,17,2.76,False
MT,61,4997,42,68.9,93,152.5,3469724.0,56881.0,694.0,14,23.0,70.5,6,9,2.88,False
NC,419,43850,235,56.1,490,116.9,15188573.0,36250.0,346.0,75,17.9,56.1,12,34,2.93,False
ND,72,4909,42,58.3,71,98.6,1966658.0,27315.0,401.0,3,4.2,58.3,6,10,3.2,False
NE,180,13715,42,23.3,70,38.9,1631904.0,9066.0,119.0,47,26.1,32.8,6,1,2.75,False
NH,73,7326,22,30.1,41,56.2,585178.0,8016.0,80.0,2,2.7,30.1,6,0,3.08,False
NJ,348,50998,142,40.8,271,77.9,12167453.0,34964.0,239.0,8,2.3,41.4,12,15,3.31,False
NM,68,6880,41,60.3,94,138.2,2820337.0,41476.0,410.0,20,29.4,61.8,6,11,2.85,False
NV,66,7235,24,36.4,29,43.9,866217.0,13125.0,120.0,1,1.5,36.4,6,9,3.17,False
NY,593,111413,180,30.4,326,55.0,14008272.0,23623.0,126.0,21,3.5,31.4,18,44,3.03,False
OH,922,81083,281,30.5,508,55.1,22775884.0,24703.0,281.0,174,18.9,34.7,30,40,3.15,False
