snapshot_date,days_since_previous_file,distinct_fines_added,distinct_fines_dropped,median_added_fine_dollars,median_lag_days_of_added,added_over_a_year_late,pct_added_over_a_year_late
2019-02-09,23,287,196,14263.0,208.0,59,20.6
2019-03-09,28,236,184,13666.0,206.0,47,19.9
2019-04-09,31,239,240,14217.0,223.0,47,19.7
2019-05-09,30,247,208,13905.0,192.0,47,19.0
2019-06-09,31,254,211,13633.0,183.0,36,14.2
2019-07-09,30,285,221,14789.0,200.0,56,19.6
2019-08-09,31,264,219,13564.0,190.0,38,14.4
2019-09-09,31,272,284,13905.0,179.0,38,14.0
2019-10-09,30,241,277,16010.0,190.0,44,18.3
2019-12-17,69,286,311,16647.0,222.0,38,13.3
2020-01-09,23,386,494,13474.0,197.0,38,9.8
2020-02-09,31,233,318,14805.0,185.0,27,11.6
2020-03-09,29,227,310,13868.0,181.0,39,17.2
2020-04-09,31,220,301,14446.0,193.0,35,15.9
2020-05-09,30,67,407,14063.0,283.0,20,29.9
2020-06-17,39,33,277,30645.0,325.0,12,36.4
2020-07-09,22,34,377,22257.0,301.0,14,41.2
2020-08-09,31,52,291,20461.0,265.0,11,21.2
2020-09-09,31,62,319,13905.0,272.0,8,12.9
2020-10-09,30,68,259,13905.0,332.0,27,39.7
2020-11-21,43,121,263,20501.0,373.0,64,52.9
2020-12-21,30,0,0,,,0,
2021-01-27,37,1467,393,1300.0,223.0,160,10.9
2021-02-27,31,584,21,7227.0,178.0,90,15.4
2021-03-27,28,460,17,8019.0,183.0,68,14.8
2021-04-27,31,768,14,3250.0,162.0,65,8.5
2021-05-27,30,894,14,7567.0,188.0,86,9.6
2021-06-27,31,655,24,7615.0,208.0,87,13.3
2021-07-27,30,1108,16,3250.0,235.0,207,18.7
2021-08-27,31,1029,26,1950.0,263.0,295,28.7
2021-09-27,31,1009,23,2600.0,244.0,204,20.2
2021-10-27,30,1283,21,1300.0,145.0,231,18.0
2021-11-27,31,0,0,,,0,
2021-12-27,30,10756,535,4257.0,285.0,3928,36.5
2022-01-27,31,4636,4450,2948.0,164.0,329,7.1
2022-02-27,31,2044,1903,2948.0,230.0,99,4.8
2022-03-27,28,2540,1292,2293.0,137.0,133,5.2
2022-04-27,31,3197,1410,3250.0,142.0,201,6.3
2022-05-27,30,2213,820,4225.0,137.0,119,5.4
2022-06-27,31,2241,1032,3289.0,140.0,118,5.3
2022-07-27,30,2647,1334,3250.0,142.0,84,3.2
2022-08-27,31,1962,1259,4225.0,191.0,91,4.6
2022-09-27,31,1843,1531,5000.0,225.0,169,9.2
2022-10-27,30,1532,1298,5244.0,220.0,124,8.1
2022-11-27,31,0,0,,,0,
2022-12-02,5,1710,1070,4545.0,206.0,171,10.0
2023-01-02,31,2072,1535,12600.0,172.0,259,12.5
2023-02-21,50,1470,1131,13636.0,211.0,170,11.6
2023-03-02,9,1790,1132,6500.0,189.0,170,9.5
2023-04-26,55,1451,653,10010.0,142.0,115,7.9
2023-05-30,34,1178,582,13000.0,141.0,108,9.2
2023-06-27,28,1666,891,9750.0,145.0,129,7.7
2023-07-25,28,1292,2260,9311.0,203.0,130,10.1
2023-08-30,36,998,1492,13636.0,204.0,163,16.3
2023-09-02,3,1607,1809,8203.0,121.0,151,9.4
2023-10-02,30,1355,1565,7456.0,193.0,210,15.5
2023-11-02,31,0,0,,,0,
2023-12-21,49,1099,1712,15000.0,217.0,265,24.1
2024-01-31,41,3321,4134,6500.0,202.0,519,15.6
2024-02-29,29,1379,1639,11638.0,147.0,193,14.0
2024-03-28,28,1749,2199,10269.0,199.0,158,9.0
2024-04-25,28,1531,2007,9527.0,206.0,94,6.1
2024-05-29,34,1643,2080,14678.0,212.0,291,17.7
2024-06-26,28,1711,2447,14901.0,219.0,493,28.8
2024-07-31,35,1149,2826,22205.0,226.0,257,22.4
2024-08-29,29,1408,3108,20566.0,259.0,555,39.4
2024-09-26,28,1183,2724,15911.0,227.0,260,22.0
2024-10-30,34,694,1817,26363.0,196.0,85,12.2
2024-11-07,8,0,0,,,0,
2024-12-20,43,889,1066,25847.0,227.0,174,19.6
2025-02-26,68,2121,5812,25847.0,238.0,314,14.8
2025-03-26,28,967,1961,24118.0,196.0,143,14.8
2025-04-30,35,829,1784,25675.0,209.0,95,11.5
2025-05-28,28,994,1728,25445.0,209.0,119,12.0
2025-06-25,28,764,1100,26685.0,161.0,66,8.6
2025-07-30,35,976,1766,24672.0,198.0,151,15.5
2025-09-24,56,0,0,,,0,
2025-11-20,57,3649,4405,14015.0,476.0,2138,58.6
2025-12-15,25,207,1062,23345.0,193.0,18,8.7
2026-01-14,30,980,1634,24799.0,252.0,165,16.8
2026-02-25,42,1192,2116,22957.0,286.0,293,24.6
2026-03-25,28,532,1025,22809.0,230.0,77,14.5
2026-04-29,35,778,833,21645.0,238.0,99,12.7
2026-05-27,28,988,1198,22090.0,258.0,272,27.5
2026-06-24,28,806,1149,26143.0,231.0,178,22.1
2026-07-29,35,926,946,20451.0,205.0,160,17.3
2026-08-26,28,1012,1462,22149.0,222.0,195,19.3
