penalty_year,fines,dollars,median_fine_dollars,mean_fine_dollars,note
2016,2659,105973701.0,14850.0,39855.0,
2017,3478,109519531.0,12421.0,31489.0,
2018,3136,115926208.0,13627.0,36966.0,
2019,3451,137829845.0,14593.0,39939.0,
2020,9776,180928201.0,7051.0,18507.0,
2021,25602,404482698.0,3250.0,15799.0,
2022,21776,527681303.0,7342.0,24232.0,
2023,17548,533009270.0,10000.0,30376.0,
2024,11294,529261960.0,21615.0,46862.0,
2025,7818,371840455.0,22925.0,47660.0,incomplete: fines enter the file months after they are imposed
2026,1690,74682007.0,22925.0,44191.0,incomplete: fines enter the file months after they are imposed
