snapshot_date,fines_in_file,dollars_in_file,facilities_with_a_fine,counted_from
2019-01-17,7180,238730611.0,4980,rows of the monthly file
2019-02-09,7269,243629313.0,5029,rows of the monthly file
2019-03-09,7320,245048885.0,5053,rows of the monthly file
2019-04-09,7320,250025661.0,5064,rows of the monthly file
2019-05-09,7360,251621088.0,5063,rows of the monthly file
2019-06-09,7403,250800430.0,5073,rows of the monthly file
2019-07-09,7466,252203501.0,5099,rows of the monthly file
2019-08-09,7512,255503634.0,5116,rows of the monthly file
2019-09-09,7499,252812834.0,5083,rows of the monthly file
2019-10-09,7463,248229544.0,5064,rows of the monthly file
2019-12-17,7440,244164760.0,5061,rows of the monthly file
2020-01-09,7329,234841875.0,4989,rows of the monthly file
2020-02-09,7242,229727898.0,4957,rows of the monthly file
2020-03-09,7161,226540543.0,4905,rows of the monthly file
2020-04-09,7081,224450868.0,4867,rows of the monthly file
2020-05-09,6741,212357335.0,4686,rows of the monthly file
2020-06-17,6497,204516966.0,4548,rows of the monthly file
2020-07-09,6153,197858428.0,4349,rows of the monthly file
2020-08-09,5912,193020639.0,4226,rows of the monthly file
2020-09-09,5656,185461412.0,4085,rows of the monthly file
2020-10-09,5465,182478338.0,3973,rows of the monthly file
2020-11-21,5322,177778955.0,3885,rows of the monthly file
2020-12-21,5322,177778955.0,3885,rows of the monthly file
2021-01-27,6378,184783816.0,4447,rows of the monthly file
2021-02-27,6657,185806156.0,4653,rows of the monthly file
2021-03-27,6881,188573819.0,4756,rows of the monthly file
2021-04-27,7417,193268020.0,5017,rows of the monthly file
2021-05-27,9033,229631545.0,5731,rows of the monthly file
2021-06-27,9662,240091002.0,6001,rows of the monthly file
2021-07-27,10751,254295905.0,6392,rows of the monthly file
2021-08-27,11755,263497863.0,6711,rows of the monthly file
2021-09-27,12742,275433609.0,7008,rows of the monthly file
2021-10-27,14003,287852692.0,7467,rows of the monthly file
2021-11-27,14003,287852692.0,7467,rows of the monthly file
2021-12-27,24230,475417247.0,9677,rows of the monthly file
2022-01-27,24413,412798641.0,9512,rows of the monthly file
2022-02-27,24536,413976458.0,9570,rows of the monthly file
2022-03-27,25796,417971418.0,9795,rows of the monthly file
2022-04-27,27577,424370734.0,10108,rows of the monthly file
2022-05-27,28963,434364444.0,10298,rows of the monthly file
2022-06-27,30168,443883347.0,10426,rows of the monthly file
2022-07-27,31479,452818982.0,10550,rows of the monthly file
2022-08-27,32190,457293462.0,10635,rows of the monthly file
2022-09-27,32497,464158029.0,10646,rows of the monthly file
2022-10-27,32736,469181513.0,10685,rows of the monthly file
2022-11-27,32736,469181513.0,10685,rows of the monthly file
2022-12-02,33367,476775093.0,10724,rows of the monthly file
2023-01-02,33907,493880810.0,10813,rows of the monthly file
2023-02-21,34246,501694776.0,10842,rows of the monthly file
2023-03-02,34909,512707445.0,10887,rows of the monthly file
2023-04-26,35717,525805308.0,10945,rows of the monthly file
2023-05-30,36312,540652022.0,10971,rows of the monthly file
2023-06-27,37082,564246113.0,11034,rows of the monthly file
2023-07-25,36113,569214129.0,10960,rows of the monthly file
2023-08-30,35620,571516154.0,10915,rows of the monthly file
2023-09-02,35420,571352779.0,10840,rows of the monthly file
2023-10-02,35211,568437816.0,10776,rows of the monthly file
2023-11-02,35211,568437816.0,10776,rows of the monthly file
2023-12-21,34597,567798379.0,10651,rows of the monthly file
2024-01-31,33769,560459515.0,10476,rows of the monthly file
2024-02-29,33510,563754960.0,10413,rows of the monthly file
2024-03-28,33050,566248009.0,10325,rows of the monthly file
2024-04-25,32572,565180829.0,10241,rows of the monthly file
2024-05-29,32129,567709136.0,10181,rows of the monthly file
2024-06-26,31347,565992170.0,10094,rows of the monthly file
2024-07-31,29660,565831637.0,9852,rows of the monthly file
2024-08-29,27983,558974251.0,9578,rows of the monthly file
2024-09-26,26436,559457091.0,9315,rows of the monthly file
2024-10-30,25338,560370800.0,9119,rows of the monthly file
2024-11-07,25338,560370800.0,9119,rows of the monthly file
2024-12-20,25158,559140244.0,9089,rows of the monthly file
2025-02-26,21472,556539835.0,8393,rows of the monthly file
2025-03-26,20482,556422470.0,8186,rows of the monthly file
2025-04-30,19528,551933667.0,7979,rows of the monthly file
2025-05-28,18801,549590248.0,7781,rows of the monthly file
2025-06-25,18482,553436901.0,7687,rows of the monthly file
2025-07-30,17720,546076087.0,7601,rows of the monthly file
2025-09-24,17720,546076087.0,7601,rows of the monthly file
2025-11-20,17297,525404352.0,7333,rows of the monthly file
2025-12-15,16428,510252558.0,7097,rows of the monthly file
2026-01-14,15768,498910173.0,7001,rows of the monthly file
2026-02-25,14835,480096127.0,6798,rows of the monthly file
2026-03-25,14332,470829164.0,6685,rows of the monthly file
2026-04-29,14279,467344898.0,6657,rows of the monthly file
2026-05-27,14058,462082018.0,6628,rows of the monthly file
2026-06-24,13710,459054863.0,6563,rows of the monthly file
2026-07-29,13687,464165281.0,6576,rows of the monthly file
2026-08-26,13256,456752787.0,6514,rows of the monthly file
