snapshot_date,facilities,special_focus_facilities,sff_candidates
2019-01-17,15578,85,0
2019-02-09,15579,80,0
2019-03-09,15580,85,0
2019-04-09,15563,83,0
2019-05-09,15538,83,0
2019-06-09,15527,85,0
2019-07-09,15530,88,441
2019-08-09,15512,88,441
2019-09-09,15511,83,441
2019-10-09,15491,87,440
2019-12-17,15471,88,442
2020-01-09,15454,85,441
2020-02-09,15450,84,441
2020-03-09,15446,85,441
2020-04-09,15436,85,443
2020-05-09,15427,84,442
2020-06-17,15421,84,442
2020-07-09,15404,83,442
2020-08-09,15377,85,443
2020-09-09,15361,82,444
2020-10-09,15350,84,446
2020-11-21,15348,85,444
2020-12-21,15348,85,444
2021-01-27,15340,85,440
2021-02-27,15331,81,441
2021-03-27,15331,79,442
2021-04-27,15328,85,440
2021-05-27,15315,82,440
2021-06-27,15302,86,442
2021-07-27,15298,85,441
2021-08-27,15283,88,441
2021-09-27,15266,88,441
2021-10-27,15270,88,441
2021-11-27,15270,88,441
2021-12-27,15264,88,441
2022-01-27,15238,87,440
2022-02-27,15224,88,441
2022-03-27,15216,85,441
2022-04-27,15203,87,441
2022-05-27,15197,87,441
2022-06-27,15190,86,441
2022-07-27,15178,87,440
2022-08-27,15169,88,442
2022-09-27,15151,86,441
2022-10-27,15147,89,440
2022-11-27,15147,89,440
2022-12-02,15136,88,440
2023-01-02,15107,86,440
2023-02-21,15090,87,441
2023-03-02,15082,86,441
2023-04-26,15076,83,442
2023-05-30,15046,84,441
2023-06-27,15018,85,442
2023-07-25,15010,86,442
2023-08-30,14993,86,441
2023-09-02,14956,88,441
2023-10-02,14944,86,440
2023-11-02,14944,86,440
2023-12-21,14924,86,440
2024-01-31,14906,85,440
2024-02-29,14893,87,440
2024-03-28,14878,88,441
2024-04-25,14860,85,440
2024-05-29,14858,85,440
2024-06-26,14845,86,440
2024-07-31,14834,87,440
2024-08-29,14825,86,441
2024-09-26,14817,87,440
2024-10-30,14814,87,440
2024-11-07,14814,87,440
2024-12-20,14807,87,441
2025-02-26,14782,85,440
2025-03-26,14779,83,442
2025-04-30,14769,84,441
2025-05-28,14759,88,440
2025-06-25,14754,86,440
2025-07-30,14752,85,441
2025-09-24,14752,88,441
2025-11-20,14721,87,443
2025-12-15,14721,87,440
2026-01-14,14713,87,440
2026-02-25,14710,88,442
2026-03-25,14703,86,442
2026-04-29,14699,85,441
2026-05-27,14700,88,440
2026-06-24,14695,86,440
2026-07-29,14693,88,440
2026-08-06,14693,88,440
2026-08-26,14690,84,441
