chain_id,chain_name,facilities,certified_beds,facilities_fined,pct_facilities_fined,fines,fines_per_100_facilities,total_fines_dollars,fines_dollars_per_facility,fines_dollars_per_bed,payment_denials,denials_per_100_facilities,pct_with_any_penalty,sff_or_candidate,abuse_icon_facilities,avg_overall_rating
42,ARCADIA CARE,25,3044,21,84.0,66,264.0,4719543.0,188782.0,1550.0,37,148.0,88.0,5,10,1.35
446,RELIANT CARE MANAGEMENT,34,3422,28,82.4,83,244.1,5105230.0,150154.0,1492.0,31,91.2,82.4,8,14,1.18
531,TUTERA SENIOR LIVING & HEALTH CARE,25,2392,21,84.0,66,264.0,2837182.0,113487.0,1186.0,16,64.0,84.0,0,9,2.04
205,EPHRAM LAHASKY,22,2112,15,68.2,39,177.3,2329406.0,105882.0,1103.0,7,31.8,68.2,6,3,1.75
21,ALLAIRE HEALTH SERVICES,20,3417,14,70.0,26,130.0,1960195.0,98010.0,574.0,6,30.0,70.0,4,5,2.56
504,THE ALDEN NETWORK,27,4590,20,74.1,54,200.0,2493653.0,92358.0,543.0,13,48.1,74.1,0,6,2.85
38,APERION CARE,33,4201,20,60.6,65,197.0,2456615.0,74443.0,585.0,15,45.5,66.7,1,10,1.94
224,FOCUSED POST ACUTE CARE PARTNERS,25,2875,20,80.0,46,184.0,1730988.0,69240.0,602.0,5,20.0,80.0,1,7,1.88
768,LIFEWORKS REHAB,64,8716,38,59.4,80,125.0,4394740.0,68668.0,504.0,17,26.6,59.4,7,11,2.07
52,ATHENA HEALTHCARE SYSTEMS,22,2891,15,68.2,27,122.7,1499881.0,68176.0,519.0,4,18.2,68.2,1,4,1.55
763,INFINITY HEALTHCARE CONSULTING,69,8656,27,39.1,89,129.0,4421685.0,64082.0,511.0,21,30.4,43.5,5,16,2.03
193,EDURO HEALTHCARE,34,3711,27,79.4,70,205.9,2158134.0,63475.0,582.0,10,29.4,79.4,2,4,2.38
719,AVIR HEALTH GROUP,116,12696,82,70.7,186,160.3,6811835.0,58723.0,537.0,14,12.1,70.7,6,19,2.33
601,OPTALIS HEALTH & REHABILITATION,36,4602,24,66.7,39,108.3,2068096.0,57447.0,449.0,16,44.4,72.2,1,9,2.36
134,CHAMPION CARE,22,2347,12,54.5,19,86.4,1243611.0,56528.0,530.0,4,18.2,54.5,4,1,2.19
169,CREATIVE SOLUTIONS IN HEALTHCARE,149,17670,110,73.8,244,163.8,8191964.0,54980.0,464.0,18,12.1,73.8,6,22,2.13
348,MGM HEALTHCARE,27,3516,16,59.3,27,100.0,1455218.0,53897.0,414.0,14,51.9,66.7,1,2,2.26
598,ATLAS HEALTHCARE,29,3851,14,48.3,24,82.8,1552993.0,53551.0,403.0,1,3.4,48.3,0,0,3.55
192,EDEN SENIOR CARE,21,2039,10,47.6,25,119.0,1122169.0,53437.0,550.0,2,9.5,47.6,1,2,2.62
661,STERN CONSULTANTS,22,2084,11,50.0,25,113.6,1151266.0,52330.0,552.0,8,36.4,63.6,0,2,2.55
199,EMBASSY HEALTHCARE,33,3164,18,54.5,30,90.9,1711429.0,51861.0,541.0,11,33.3,60.6,3,3,2.39
13,ADVANCED HEALTHCARE SOLUTIONS,28,3379,17,60.7,37,132.1,1426020.0,50929.0,422.0,1,3.6,60.7,2,3,2.86
272,HMG HEALTHCARE,31,3870,21,67.7,42,135.5,1574296.0,50784.0,407.0,6,19.4,67.7,3,3,3.13
370,NEXION HEALTH,51,5386,32,62.7,75,147.1,2560999.0,50216.0,475.0,9,17.6,64.7,2,5,2.22
846,EVERGREEN HEALTHCARE GROUP,44,4222,37,84.1,83,188.6,2160618.0,49105.0,512.0,1,2.3,84.1,3,10,2.47
