ccn,provider_name,city,state,ownership_category,chain_name,certified_beds,overall_rating,special_focus_status,abuse_icon,num_fines,total_fines_dollars,num_payment_denials
265822,BRIDGEWOOD HEALTH CARE CENTER,KANSAS CITY,MO,For profit,RELIANT CARE MANAGEMENT,166,1,SFF Candidate,True,13,1148689.0,4
335082,Waterview Heights Rehabilitation and Nursing Cente,Rochester,NY,For profit,HURLBUT CARE,229,,SFF,False,3,960884.0,1
145290,Nexus Pavilion at Belleville,BELLEVILLE,IL,For profit,,180,1,SFF Candidate,True,7,821641.0,2
445150,MAJESTIC GARDENS AT MEMPHIS REHAB & SNC,MEMPHIS,TN,For profit,EPHRAM LAHASKY,169,1,SFF Candidate,False,9,810404.0,2
335184,Van Duyn Center For Rehabilitation And Nursing,SYRACUSE,NY,For profit,UPSTATE SERVICES GROUP,513,,SFF,True,5,783273.0,1
745021,AVIR AT LINDALE,LINDALE,TX,Government,AVIR HEALTH GROUP,122,1,,False,5,754567.0,0
315044,MOHAWK MEADOWS,LAFAYETTE,NJ,For profit,,159,1,,False,1,713795.0,1
265721,GREGORY RIDGE HEALTH CARE CENTER,KANSAS CITY,MO,For profit,RELIANT CARE MANAGEMENT,116,1,SFF Candidate,True,6,708002.0,2
145581,La Bella of Cahokia,CAHOKIA,IL,For profit,JENMAX GROUP,150,1,SFF Candidate,True,3,702001.0,2
335338,BISHOP REHABILITATION AND NURSING CENTER,SYRACUSE,NY,For profit,,440,1,SFF Candidate,False,2,699602.0,2
145613,BRIA OF CAHOKIA,CAHOKIA,IL,For profit,BRIA HEALTH SERVICES,133,1,,True,7,686807.0,4
145639,CHICAGO RIDGE SNF,CHICAGO RIDGE,IL,For profit,SABA HEALTHCARE,231,1,,True,5,675810.0,4
145222,La Bella of Woodstock,WOODSTOCK,IL,For profit,,115,1,,True,8,673254.0,4
195613,Legacy Nursing at St. Christina,Pineville,LA,For profit,LEGACY NURSING & REHABILITATION,140,1,,True,5,646937.0,1
145764,MORGAN PARK HEALTHCARE,CHICAGO,IL,For profit,SABA HEALTHCARE,294,2,SFF Candidate,True,8,631885.0,3
145419,BRIA OF ELMWOOD PARK,ELMWOOD PARK,IL,For profit,BRIA HEALTH SERVICES,245,1,SFF Candidate,True,10,616979.0,2
195293,"Natchitoches Nursing and Rehabilitation Center, LL",Natchitoches,LA,For profit,,98,1,,False,4,616611.0,0
195488,White Oak Post Acute Care,Baton Rouge,LA,For profit,ARK POST ACUTE NETWORK,176,,SFF,False,5,608723.0,3
145765,PARK VIEW REHAB CENTER,CHICAGO,IL,For profit,ICARE CONSULTING SERVICES,128,2,,True,7,598146.0,2
146026,Arc at Sangamon Valley,SPRINGFIELD,IL,Non profit,ARCADIA CARE,171,1,,False,6,597556.0,3
145995,ARCHER HEIGHTS HEALTHCARE,CHICAGO,IL,For profit,SABA HEALTHCARE,249,1,,True,5,596515.0,2
145914,Landmark at 95th Rehabilitation and Nursing Center,CHICAGO,IL,For profit,INFINITY HEALTHCARE CONSULTING,228,1,,True,7,595647.0,2
145834,"AUSTIN OASIS, THE",CHICAGO,IL,For profit,ICARE CONSULTING SERVICES,216,1,,True,5,577293.0,3
335744,Grand Manor Nursing & Rehabilitation Center,Bronx,NY,For profit,,240,,SFF,True,4,563175.0,2
315521,ATLAS POST ACUTE AT WOODBURY COUNTRY CLUB,WOODBURY,NJ,For profit,ATLAS HEALTHCARE,124,2,,False,2,561530.0,0
