state,facilities,certified_beds,pe_owner_facilities,pe_owner_pct,reit_owner_facilities,pe_party_facilities,reit_party_facilities,reit_party_pct,for_profit_pct,chain_pct,facilities_with_chow_36mo,pct_with_chow_36mo,avg_overall_rating,avg_overall_rating_pe_owner,avg_overall_rating_others
AK,20,815,0,0.0,0,0,0,0.0,30.0,35.0,2,10.0,3.45,,3.45
AL,224,26504,0,0.0,1,1,4,1.79,84.4,72.3,11,4.9,3.0,,3.0
AR,221,24167,0,0.0,0,2,0,0.0,90.5,81.9,10,4.5,3.41,,3.41
AZ,140,15984,0,0.0,0,0,2,1.43,85.7,80.0,15,10.7,3.32,,3.32
CA,1165,114991,4,0.34,0,11,15,1.29,87.0,72.1,69,5.9,3.16,2.75,3.16
CO,210,19757,0,0.0,8,0,9,4.29,83.3,72.9,42,20.0,3.13,,3.13
CT,191,22535,1,0.52,0,1,3,1.57,80.1,57.6,25,13.1,2.99,5.0,2.98
DC,17,2485,0,0.0,0,0,3,17.65,41.2,11.8,0,0.0,3.35,,3.35
DE,44,4717,0,0.0,0,0,5,11.36,72.7,72.7,8,18.2,3.28,,3.28
FL,694,84537,0,0.0,8,0,31,4.47,80.1,76.8,49,7.1,3.27,,3.27
GA,356,39494,0,0.0,2,0,12,3.37,69.4,68.5,36,10.1,2.64,,2.64
GU,1,40,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,3.0,,3.0
HI,43,4248,0,0.0,0,0,0,0.0,60.5,48.8,0,0.0,3.56,,3.56
IA,387,25131,3,0.78,1,7,2,0.52,53.7,56.8,62,16.0,3.07,2.67,3.07
ID,80,6113,0,0.0,0,0,0,0.0,81.3,80.0,4,5.0,3.14,,3.14
IL,666,84975,0,0.0,1,0,23,3.45,81.2,71.6,103,15.5,2.55,,2.55
IN,507,48825,0,0.0,9,3,75,14.79,56.4,81.9,18,3.6,3.14,,3.14
KS,296,18044,0,0.0,0,1,0,0.0,58.8,61.8,14,4.7,3.11,,3.11
KY,267,25368,0,0.0,4,0,6,2.25,82.4,70.8,24,9.0,3.01,,3.01
LA,265,32291,0,0.0,0,0,8,3.02,81.1,63.0,13,4.9,2.52,,2.52
MA,341,40961,0,0.0,0,0,2,0.59,73.0,66.0,41,12.0,3.04,,3.04
MD,221,27307,0,0.0,1,0,13,5.88,82.4,74.2,20,9.0,3.13,,3.13
ME,78,5830,0,0.0,2,0,9,11.54,71.8,60.3,1,1.3,3.09,,3.09
MI,422,44005,2,0.47,4,3,4,0.95,76.5,73.2,22,5.2,3.12,4.5,3.11
MN,338,24060,1,0.3,0,2,0,0.0,30.2,57.4,10,3.0,3.15,3.0,3.16
MO,487,50043,0,0.0,0,2,5,1.03,79.7,70.4,54,11.1,2.51,,2.51
MS,202,17496,0,0.0,0,0,7,3.47,77.7,59.4,7,3.5,2.76,,2.76
MT,61,4997,1,1.64,0,1,3,4.92,57.4,52.5,8,13.1,2.88,2.0,2.9
NC,419,43850,0,0.0,4,0,32,7.64,83.5,75.7,57,13.6,2.93,,2.93
ND,72,4909,0,0.0,0,0,0,0.0,5.6,37.5,0,0.0,3.2,,3.2
NE,180,13715,0,0.0,0,5,0,0.0,39.4,52.8,19,10.6,2.75,,2.75
NH,73,7326,0,0.0,0,1,1,1.37,61.6,45.2,9,12.3,3.08,,3.08
NJ,348,50998,0,0.0,1,0,11,3.16,82.5,69.0,19,5.5,3.31,,3.31
NM,68,6880,0,0.0,0,0,3,4.41,85.3,70.6,13,19.1,2.85,,2.85
NV,66,7235,3,4.55,1,3,3,4.55,86.4,74.2,13,19.7,3.17,2.0,3.21
NY,593,111413,0,0.0,0,1,2,0.34,69.8,51.1,5,0.8,3.03,,3.03
OH,922,81083,4,0.43,10,4,19,2.06,84.9,73.9,58,6.3,3.15,3.0,3.15
OK,283,27595,0,0.0,2,0,3,1.06,89.4,53.0,24,8.5,2.67,,2.67
OR,128,10602,4,3.13,2,4,20,15.63,86.7,82.0,38,29.7,3.13,2.5,3.15
PA,656,83059,24,3.66,1,27,18,2.74,63.0,60.7,91,13.9,2.97,1.65,3.02
PR,9,299,0,0.0,0,0,0,0.0,55.6,0.0,0,0.0,3.0,,3.0
RI,72,8190,0,0.0,0,0,3,4.17,84.7,47.2,7,9.7,2.89,,2.89
SC,187,19589,1,0.53,1,1,10,5.35,79.7,69.5,18,9.6,3.01,5.0,3.0
SD,96,5848,6,6.25,0,6,1,1.04,32.3,51.0,6,6.3,2.88,2.0,2.94
TN,303,34613,0,0.0,0,0,15,4.95,81.8,73.9,41,13.5,3.0,,3.0
TX,1177,133408,0,0.0,7,0,144,12.23,70.9,79.6,192,16.3,2.65,,2.65
UT,97,8379,0,0.0,0,0,0,0.0,68.0,81.4,6,6.2,3.29,,3.29
VA,289,32648,0,0.0,0,0,24,8.3,76.8,74.0,28,9.7,2.95,,2.95
VT,33,2951,0,0.0,0,0,0,0.0,66.7,48.5,1,3.0,2.88,,2.88
WA,193,18781,11,5.7,0,11,10,5.18,79.3,72.5,42,21.8,3.21,2.36,3.27
WI,323,24758,0,0.0,2,0,2,0.62,61.6,59.8,24,7.4,2.98,,2.98
WV,123,10717,0,0.0,1,0,15,12.2,80.5,76.4,9,7.3,2.98,,2.98
WY,36,2938,0,0.0,0,0,0,0.0,47.2,38.9,11,30.6,2.89,,2.89
