year,component,relationships,share_of_year_pct
2019,New name at the facility,23095,92.4
2019,"Name already listed at the facility, additional role family",1890,7.6
2020,New name at the facility,21157,93.4
2020,"Name already listed at the facility, additional role family",1484,6.6
2021,New name at the facility,15121,93.2
2021,"Name already listed at the facility, additional role family",1101,6.8
2022,New name at the facility,29193,90.9
2022,"Name already listed at the facility, additional role family",2935,9.1
2023,New name at the facility,19803,91.9
2023,"Name already listed at the facility, additional role family",1749,8.1
2024,"Same name and role family, new CMS label",54832,72.8
2024,New name at the facility,19129,25.4
2024,"Name already listed at the facility, additional role family",1317,1.7
2025,New name at the facility,37325,57.1
2025,"Same name and role family, new CMS label",18353,28.1
2025,"Name already listed at the facility, additional role family",9649,14.8
2026,"Category added by the 2023 disclosure rule, name already listed at the facility",60701,42.2
2026,"Category added by the 2023 disclosure rule, new name",35666,24.8
2026,New name at the facility,34714,24.1
2026,"Name already listed at the facility, additional role family",7955,5.5
2026,"Same name and role family, new CMS label",4954,3.4
