year,role_family,owner_names_first_seen
2019,Corporate director,5219
2019,Indirect ownership interest,4510
2019,Corporate officer,4267
2019,Managing employee,3226
2019,Operational/managerial control,2841
2019,Direct ownership interest,2563
2019,Security interest,181
2019,Partnership interest,169
2019,Mortgage interest,119
2020,Corporate officer,4567
2020,Indirect ownership interest,4485
2020,Corporate director,3481
2020,Operational/managerial control,3316
2020,Managing employee,2895
2020,Direct ownership interest,1980
2020,Security interest,228
2020,Mortgage interest,116
2020,Partnership interest,89
2021,Indirect ownership interest,3189
2021,Corporate director,3045
2021,Corporate officer,2791
2021,Managing employee,2470
2021,Direct ownership interest,1745
2021,Operational/managerial control,1743
2021,Partnership interest,75
2021,Security interest,45
2021,Mortgage interest,18
2022,Indirect ownership interest,6647
2022,Corporate director,6359
2022,Corporate officer,5330
2022,Managing employee,4703
2022,Operational/managerial control,3376
2022,Direct ownership interest,2467
2022,Partnership interest,119
2022,Mortgage interest,105
2022,Security interest,87
2023,Indirect ownership interest,4427
2023,Corporate director,4258
2023,Corporate officer,3567
2023,Managing employee,2816
2023,Operational/managerial control,2494
2023,Direct ownership interest,2041
2023,Security interest,109
2023,Mortgage interest,59
2023,Partnership interest,32
2024,Indirect ownership interest,4156
2024,Managing employee,4020
2024,Corporate director,3491
2024,Corporate officer,3156
2024,Operational/managerial control,2165
2024,Direct ownership interest,1847
2024,Partnership interest,124
2024,Security interest,110
2024,Mortgage interest,60
2025,Operational/managerial control,19361
2025,Indirect ownership interest,5390
2025,Corporate director,3869
2025,Corporate officer,3481
2025,Direct ownership interest,2265
2025,Mortgage interest,1357
2025,Managing employee,728
2025,Security interest,612
2025,Partnership interest,261
2026,Operational/managerial control,17831
2026,Indirect ownership interest,6902
2026,Corporate director,3458
2026,Direct ownership interest,2559
2026,Corporate officer,2535
2026,Security interest,730
2026,Mortgage interest,499
2026,Partnership interest,150
2026,Managing employee,45
