cms_role_label,role_family,comparable_since_2019,first_vintage,last_vintage,relationships
OPERATIONAL/MANAGERIAL CONTROL,Operational/managerial control,True,2019-01-17,2026-08-26,86975
5% OR GREATER INDIRECT OWNERSHIP INTEREST,Indirect ownership interest,True,2019-01-17,2026-08-26,68431
DIRECTOR,Corporate director,True,2019-01-17,2024-11-07,65265
OFFICER,Corporate officer,True,2019-01-17,2024-11-07,58406
MANAGING EMPLOYEE,Managing employee,True,2019-01-17,2025-05-28,44077
5% OR GREATER DIRECT OWNERSHIP INTEREST,Direct ownership interest,True,2019-01-17,2026-08-26,40825
5% OR GREATER SECURITY INTEREST,Security interest,True,2019-01-17,2026-08-26,3349
5% OR GREATER MORTGAGE INTEREST,Mortgage interest,True,2019-01-17,2026-08-26,3126
PARTNERSHIP INTEREST,Partnership interest,True,2019-01-17,2025-05-28,2795
CORPORATE DIRECTOR,Corporate director,True,2024-12-20,2026-08-26,38262
CORPORATE OFFICER,Corporate officer,True,2024-12-20,2026-08-26,33849
W-2 MANAGING EMPLOYEE,Managing employee,True,2025-06-25,2026-08-26,14191
CONTRACTED MANAGING EMPLOYEE,Managing employee,True,2025-06-25,2026-08-26,2771
LIMITED PARTNERSHIP INTEREST,Partnership interest,True,2025-06-25,2026-08-26,869
GENERAL PARTNERSHIP INTEREST,Partnership interest,True,2025-06-25,2026-08-26,750
ADP OF THE SNF,Additional disclosable party (2026 category),False,2026-05-27,2026-08-26,75253
MANAGING CONTROL - GOVERNING BODY,Governing body (2026 category),False,2026-05-27,2026-08-26,13017
INDIRECT OWNERSHIP INTEREST,Indirect ownership interest,True,2026-05-27,2026-08-26,8868
"INDIVIDUAL IS AN OWNER, PARTNER OR TRUSTEE OF ANY ADP OF THE SNF",Additional disclosable party (2026 category),False,2026-05-27,2026-08-26,4454
TRUSTEE OF THE SNF,Trustee (2026 category),False,2026-05-27,2026-08-26,3643
DIRECT OWNERSHIP INTEREST,Direct ownership interest,True,2026-05-27,2026-08-26,3629
