chain_id,chain_name,chain_facilities_cms,state_count,avg_overall_rating,avg_staffing_rating,sff_count,sff_candidate_count,abuse_icon_count,total_fines_dollars,facilities_in_release,pe_owner_facilities,reit_owner_facilities,reit_party_facilities,facilities_with_chow_36mo
NATIONAL,National,14702,53,3.0,2.9,84,441,1427,456761299.0,0,,,,0
507,THE ENSIGN GROUP,343,17,3.2,2.7,0,6,33,7057363.0,342,0,0,0,71
690,PACS GROUP,274,16,2.9,2.5,2,10,28,8781073.0,274,0,0,3,85
311,LIFE CARE CENTERS OF AMERICA,194,26,3.4,3.3,0,3,15,3464555.0,194,0,0,0,0
237,GENESIS HEALTHCARE,184,18,2.4,2.5,4,14,27,7729601.0,184,0,0,0,2
169,CREATIVE SOLUTIONS IN HEALTHCARE,149,1,2.1,1.1,0,6,22,8191964.0,149,0,0,1,23
461,SABER HEALTHCARE GROUP,126,6,2.9,2.2,0,3,12,3042312.0,126,0,0,34,0
524,TRILOGY HEALTH SERVICES,123,5,4.2,3.3,0,0,0,441407.0,123,4,23,73,0
719,AVIR HEALTH GROUP,116,1,2.3,1.8,0,6,19,6811835.0,116,0,1,92,37
153,COMMUNICARE HEALTH,110,5,3.2,2.6,0,5,13,3897007.0,110,0,0,14,5
434,PRUITTHEALTH,95,4,2.9,2.5,0,0,2,1354358.0,95,0,0,0,3
726,GOOD SAMARITAN SOCIETY,92,9,3.0,4.0,1,3,6,2150138.0,92,0,0,0,0
33,AMERICAN SENIOR COMMUNITIES,90,1,3.9,2.3,0,0,4,242737.0,90,0,0,9,1
306,LEGACY HEALTHCARE,89,3,2.9,2.5,1,3,12,3742782.0,89,0,1,1,32
336,MARQUIS HEALTH SERVICES,87,9,3.0,2.3,0,1,7,2908868.0,87,0,0,0,17
157,COMPLETE CARE,85,8,3.1,2.3,0,0,6,2221168.0,85,0,0,19,9
144,CIENA HEALTHCARE/LAUREL HEALTH CARE,81,4,2.8,3.2,0,2,9,3075868.0,81,0,0,0,0
580,SIMCHA HYMAN & NAFTALI ZANZIPER,79,6,2.6,2.2,0,4,5,2207289.0,79,0,0,0,1
763,INFINITY HEALTHCARE CONSULTING,69,3,2.0,1.5,1,4,16,4421685.0,69,0,0,0,1
364,NATIONAL HEALTHCARE CORPORATION,69,8,4.0,3.5,0,0,3,1003198.0,69,0,0,27,4
474,SIGNATURE HEALTHCARE,67,5,3.1,2.8,0,0,3,1130737.0,67,0,1,4,0
670,WELLSENTIAL HEALTH,67,1,2.7,1.6,0,0,8,2405704.0,67,0,0,0,0
231,FUNDAMENTAL HEALTHCARE,66,6,2.4,2.2,1,2,6,1966574.0,66,0,0,0,5
773,OPCO SKILLED MANAGEMENT,66,4,2.3,1.7,0,0,17,3119475.0,66,0,0,2,26
225,FOUNDATIONS HEALTH SOLUTIONS,64,1,4.1,2.3,0,0,0,392896.0,64,0,0,0,5
768,LIFEWORKS REHAB,64,5,2.1,1.6,3,4,11,4394740.0,64,0,2,2,10
377,NORTH SHORE HEALTHCARE,59,4,2.7,3.4,0,0,2,1552238.0,59,0,0,0,1
56,AUTUMN LAKE HEALTHCARE,59,5,2.8,2.4,0,0,5,1104439.0,59,0,0,0,4
290,JAMES & JUDY LINCOLN,56,2,2.4,2.2,2,0,8,1782878.0,56,0,0,0,0
345,MEDILODGE,53,1,3.1,3.7,0,3,8,1351894.0,53,0,0,0,2
370,NEXION HEALTH,51,3,2.2,2.8,1,1,5,2560999.0,51,0,0,0,0
834,ETHICA HEALTH,50,1,3.6,3.1,0,0,3,278562.0,50,0,0,0,1
745,AVIATA HEALTH GROUP,50,1,2.4,2.7,0,3,8,1798110.0,50,0,0,0,11
851,DAVID JOHNSON,48,2,3.2,3.3,0,1,6,926447.0,48,0,0,10,1
779,THE BEEBE FAMILY,48,2,2.8,3.3,0,0,2,680003.0,48,0,0,0,1
646,BENJAMIN LANDA,48,4,3.4,2.3,0,3,2,992158.0,48,0,0,0,0
118,CASCADIA HEALTHCARE,46,5,3.0,2.7,1,4,2,950260.0,46,0,0,0,2
361,MONARCH HEALTHCARE MANAGEMENT,45,1,2.2,3.7,0,1,6,1558347.0,45,0,0,0,2
185,DIVERSICARE HEALTHCARE,44,5,2.6,3.0,0,1,1,977047.0,44,0,0,0,2
846,EVERGREEN HEALTHCARE GROUP,44,6,2.5,3.3,1,2,10,2160618.0,44,23,2,7,40
312,LIFE CARE SERVICES,43,18,4.1,4.4,0,0,0,835706.0,43,0,1,1,4
482,SOVEREIGN HEALTHCARE HOLDINGS,43,3,3.7,3.1,0,0,3,1024342.0,43,0,0,0,1
372,NHS MANAGEMENT,43,3,2.9,3.7,0,0,2,136315.0,43,0,0,0,0
270,HILL VALLEY HEALTHCARE,43,6,1.8,2.0,0,5,7,1797217.0,43,0,0,0,8
106,CARE INITIATIVES,43,1,2.9,3.7,0,0,1,861207.0,43,0,0,1,0
8,ACCURA HEALTHCARE,42,4,2.5,3.1,0,0,2,364261.0,41,0,0,0,10
363,NATIONAL HEALTH CARE ASSOCIATES,42,6,3.2,3.0,0,0,8,649703.0,42,0,0,9,9
423,PRINCIPLE LONG TERM CARE,40,3,3.0,3.0,0,0,4,1019343.0,40,0,0,0,0
863,CORPORATE INTERFACE SERVICES,40,1,2.5,2.4,0,1,6,1354469.0,40,0,0,0,24
425,PRIORITY MANAGEMENT,38,2,2.9,1.6,0,1,3,746870.0,38,0,0,15,14
