state,facility_count,chow_count_12mo,chow_12mo_per_100_facilities,facilities_with_chow_36mo
WY,36,8,22.22,11
OR,128,4,3.13,38
NM,68,2,2.94,13
MO,487,13,2.67,54
MA,341,8,2.35,41
DE,44,1,2.27,8
UT,97,2,2.06,6
TX,1177,24,2.04,192
MI,422,7,1.66,22
NV,66,1,1.52,13
NH,73,1,1.37,9
AL,224,3,1.34,11
IA,387,5,1.29,62
ME,78,1,1.28,1
VA,289,3,1.04,28
CA,1165,12,1.03,69
CO,210,2,0.95,42
AZ,140,1,0.71,15
TN,303,2,0.66,41
WI,323,2,0.62,24
CT,191,1,0.52,25
MS,202,1,0.5,7
LA,265,1,0.38,13
KY,267,1,0.37,24
KS,296,1,0.34,14
IL,666,2,0.3,103
GA,356,1,0.28,36
PA,656,1,0.15,91
FL,694,1,0.14,49
SC,187,0,0.0,18
RI,72,0,0.0,7
SD,96,0,0.0,6
ID,80,0,0.0,4
ND,72,0,0.0,0
NJ,348,0,0.0,19
AR,221,0,0.0,10
VT,33,0,0.0,1
WV,123,0,0.0,9
GU,1,0,0.0,0
OH,922,0,0.0,58
MD,221,0,0.0,20
MT,61,0,0.0,8
WA,193,0,0.0,42
AK,20,0,0.0,2
PR,9,0,0.0,0
NY,593,0,0.0,5
OK,283,0,0.0,24
MN,338,0,0.0,10
DC,17,0,0.0,0
IN,507,0,0.0,18
NE,180,0,0.0,19
HI,43,0,0.0,0
NC,419,0,0.0,57
