issue,ccn,provider_name,state,ownership_category,chain_name,detail
No PECOS enrollment matched to the CCN,025025,CENTENNIAL POST ACUTE,AK,For profit,PACS GROUP,
No PECOS enrollment matched to the CCN,025028,CORDOVA COMMUNITY MED LTC,AK,Government,,
No PECOS enrollment matched to the CCN,025030,PROVIDENCE KODIAK ISLAND MED LTC,AK,Non profit,,
No PECOS enrollment matched to the CCN,025035,UTUQQANAAT INAAT,AK,Non profit,,
No PECOS enrollment matched to the CCN,01A193,FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR,AL,Non profit,,
No PECOS enrollment matched to the CCN,01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,AL,For profit,,
No PECOS enrollment matched to the CCN,04A293,Arkansas Health Center,AR,Government,,
No PECOS enrollment matched to the CCN,04E262,"MURFREESBORO REHAB AND NURSING, INC",AR,For profit,,
No PECOS enrollment matched to the CCN,035242,DR GUY GORMAN SR CARE HOME,AZ,Non profit,,
No PECOS enrollment matched to the CCN,555657,BELMONT HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,056150,CATERED MANOR CARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555539,COALINGA REGIONAL MEDICAL CTR DP/SNF,CA,For profit,,
No PECOS enrollment matched to the CCN,05A024,CRESTWOOD MANOR,CA,For profit,,
No PECOS enrollment matched to the CCN,05A340,CRESTWOOD MANOR - 104,CA,For profit,,
No PECOS enrollment matched to the CCN,05A427,CRESTWOOD MANOR - FREMONT,CA,For profit,,
No PECOS enrollment matched to the CCN,05A408,CRESTWOOD TREATMENT CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A371,Crestwood Wellness and Recovery Center,CA,For profit,,
No PECOS enrollment matched to the CCN,555731,DEPT OF STATE HOSPITALS - METROPOLITAN  SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A357,DEPT OF STATE HOSPITALS - NAPA D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A396,GARFIELD NEUROBEHAVIORAL CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A110,GRACE HOME INC.,CA,Non profit,,
No PECOS enrollment matched to the CCN,05A315,HAYES CONVALESCENT HOSPITAL,CA,For profit,,
No PECOS enrollment matched to the CCN,05A292,HELEN BERNARDY CENTER D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A277,INSPIRE BEHAVIORAL HEALTH,CA,For profit,,
No PECOS enrollment matched to the CCN,05A355,LA PAZ GEROPSYCHIATRIC CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A134,LANDMARK MEDICAL CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A137,LAUREL PARK BEHAVIORAL HEALTH CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A269,MEADOWBROOK BEHAVIORAL HEALTH CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,05A147,Merced Behavioral Center,CA,For profit,,
No PECOS enrollment matched to the CCN,05A360,PENN MAR HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555939,PLUMAS DISTRICT HOSPITAL DP/SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A263,RIVERSIDE BEHAVIORAL HEALTHCARE CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555022,SENECA DISTRICT HOSPITAL D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A290,ST. ANNE'S HOME,CA,Non profit,,
No PECOS enrollment matched to the CCN,555221,SURPRISE VALLEY COMMUNITY HOSPITAL D/P SNF,CA,Government,,
No PECOS enrollment matched to the CCN,05A208,Shandin Hills Behavior Therapy Center,CA,For profit,,
No PECOS enrollment matched to the CCN,05A027,Sierra Vista,CA,For profit,,
No PECOS enrollment matched to the CCN,05A192,THE ROYAL HOME,CA,For profit,,
No PECOS enrollment matched to the CCN,056417,VIEW HEIGHTS CONV HOSP,CA,For profit,,
No PECOS enrollment matched to the CCN,555780,VILLA DEL RIO GARDENS,CA,For profit,,
No PECOS enrollment matched to the CCN,05A364,VILLA SIENA,CA,Non profit,,
No PECOS enrollment matched to the CCN,05A264,VISTA PACIFICA CENTER,CA,For profit,,
No PECOS enrollment matched to the CCN,555589,WHITTIER HOSPITAL MEDICAL CTR D/P SNF,CA,For profit,,
No PECOS enrollment matched to the CCN,06A192,CHEYENNE MANOR,CO,Government,,
No PECOS enrollment matched to the CCN,06A172,PARK FOREST CARE CENTER LLC,CO,For profit,,
No PECOS enrollment matched to the CCN,065278,PELICAN POINTE HEALTH AND REHABILITATION CENTER,CO,For profit,THE ENSIGN GROUP,
No PECOS enrollment matched to the CCN,06A173,SEDGWICK COUNTY MEMORIAL NURSING HOME,CO,Government,,
No PECOS enrollment matched to the CCN,06A185,SOUTHEAST COLORADO HOSPITAL LTC,CO,Non profit,,
No PECOS enrollment matched to the CCN,06A190,SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,CO,Government,,
No PECOS enrollment matched to the CCN,06A175,WALSH HEALTHCARE CENTER,CO,Government,,
No PECOS enrollment matched to the CCN,075258,DOUGLAS MANOR,CT,For profit,RYDERS HEALTH MANAGEMENT,
No PECOS enrollment matched to the CCN,075113,GREENTREE MANOR NURSING AND REHABILITATION CENTER,CT,For profit,,
No PECOS enrollment matched to the CCN,075159,NORWALK CARE CENTER,CT,For profit,HIGHBRIDGE HEALTHCARE,
No PECOS enrollment matched to the CCN,075250,PARKVILLE CARE CENTER,CT,For profit,ICARE HEALTH NETWORK,
No PECOS enrollment matched to the CCN,075198,VILLAGE GREEN REHABILITATION AND HEALTHCARE CENTER,CT,For profit,ATLAS HEALTHCARE,
No PECOS enrollment matched to the CCN,075201,WEST HAVEN CENTER FOR NURSING & REHABILITATION,CT,For profit,ESSENTIAL HEALTHCARE,
No PECOS enrollment matched to the CCN,09E020,JEANNE JUGAN RESIDENCE,DC,Non profit,,
No PECOS enrollment matched to the CCN,085034,EXCELCARE AT LEWES LLC,DE,For profit,EXCELCARE,
No PECOS enrollment matched to the CCN,085002,EXCELCARE AT WILMINGTON LLC,DE,For profit,EXCELCARE,
No PECOS enrollment matched to the CCN,08A015,EXCEPTIONAL CARE FOR CHILDREN,DE,Non profit,,
No PECOS enrollment matched to the CCN,08A006,JEANNE JUGAN RESIDENCE,DE,Non profit,,
No PECOS enrollment matched to the CCN,08A020,NEWARK MANOR NURSING HOME,DE,For profit,,
