snapshot_date,cms_vintage,facilities,facilities_ownership_changed_12mo,pct_ownership_changed_12mo
2019-01-17,2019-01-01,15578,344,2.21
2019-02-09,2019-02-01,15579,355,2.28
2019-03-09,2019-03-01,15580,347,2.23
2019-04-09,2019-04-01,15563,385,2.47
2019-05-09,2019-05-01,15538,376,2.42
2019-06-09,2019-06-01,15527,398,2.56
2019-07-09,2019-07-01,15530,387,2.49
2019-08-09,2019-08-01,15512,399,2.57
2019-09-09,2019-09-01,15511,399,2.57
2019-10-09,2019-10-01,15491,388,2.5
2019-12-17,2019-11-01,15471,426,2.75
2020-01-09,2020-01-01,15454,399,2.58
2020-02-09,2020-02-01,15450,389,2.52
2020-03-09,2020-03-01,15446,381,2.47
2020-04-09,2020-04-01,15436,406,2.63
2020-05-09,2020-05-01,15427,365,2.37
2020-06-17,2020-06-01,15421,348,2.26
2020-07-09,2020-07-01,15404,357,2.32
2020-08-09,2020-08-01,15377,337,2.19
2020-09-09,2020-09-01,15361,316,2.06
2020-10-09,2020-10-01,15350,306,1.99
2020-11-21,2020-11-01,15348,290,1.89
2020-12-21,2020-11-01,15348,290,1.89
2021-01-27,2021-01-01,15340,258,1.68
2021-02-27,2021-02-01,15331,237,1.55
2021-03-27,2021-03-01,15331,229,1.49
2021-04-27,2021-04-01,15328,220,1.44
2021-05-27,2021-05-01,15315,223,1.46
2021-06-27,2021-06-01,15302,230,1.5
2021-07-27,2021-07-01,15298,270,1.76
2021-08-27,2021-08-01,15283,280,1.83
2021-09-27,2021-09-01,15266,254,1.66
2021-10-27,2021-10-01,15270,245,1.6
2021-11-27,2021-10-01,15270,245,1.6
2021-12-27,2021-11-01,15264,252,1.65
2022-01-27,2022-01-01,15238,236,1.55
2022-02-27,2022-02-01,15224,246,1.62
2022-03-27,2022-03-01,15216,254,1.67
2022-04-27,2022-04-01,15203,254,1.67
2022-05-27,2022-05-01,15197,289,1.9
2022-06-27,2022-06-01,15190,272,1.79
2022-07-27,2022-07-01,15178,290,1.91
2022-08-27,2022-08-01,15169,298,1.96
2022-09-27,2022-09-01,15151,334,2.2
2022-10-27,2022-10-01,15147,370,2.44
2022-11-27,2022-10-01,15147,370,2.44
2022-12-02,2022-11-01,15136,387,2.56
2023-01-02,2023-01-01,15107,400,2.65
2023-02-21,2023-02-01,15090,422,2.8
2023-03-02,2023-03-01,15082,412,2.73
2023-04-26,2023-04-01,15076,406,2.69
2023-05-30,2023-05-01,15046,327,2.17
2023-06-27,2023-06-01,15018,367,2.44
2023-07-25,2023-07-01,15010,338,2.25
2023-08-30,2023-08-01,14993,336,2.24
2023-09-02,2023-09-01,14956,410,2.74
2023-10-02,2023-10-01,14944,435,2.91
2023-11-02,2023-10-01,14944,435,2.91
2023-12-21,2023-11-01,14924,488,3.27
2024-01-31,2024-01-01,14906,499,3.35
2024-02-29,2024-02-01,14893,499,3.35
2024-03-28,2024-03-01,14878,489,3.29
2024-04-25,2024-04-01,14860,479,3.22
2024-05-29,2024-05-01,14858,464,3.12
2024-06-26,2024-06-01,14845,491,3.31
2024-07-31,2024-07-01,14834,480,3.24
2024-08-29,2024-08-01,14825,446,3.01
2024-09-26,2024-09-01,14817,398,2.69
2024-10-30,2024-10-01,14814,388,2.62
2024-11-07,2024-10-01,14814,388,2.62
2024-12-20,2024-11-01,14807,348,2.35
2025-02-26,2025-02-01,14782,219,1.48
2025-03-26,2025-03-01,14779,210,1.42
2025-04-30,2025-04-01,14769,213,1.44
2025-05-28,2025-05-01,14759,228,1.54
2025-06-25,2025-06-01,14754,264,1.79
2025-07-30,2025-07-01,14752,261,1.77
2025-09-24,2025-09-01,14752,157,1.06
2025-11-20,2025-10-01,14721,113,0.77
2025-12-15,2025-11-01,14721,82,0.56
2026-01-14,2025-12-01,14713,55,0.37
2026-02-25,2026-02-01,14710,11,0.07
2026-03-25,2026-03-01,14703,5,0.03
2026-04-29,2026-04-01,14699,2,0.01
2026-05-27,2026-05-01,14700,0,0.0
2026-06-24,2026-06-01,14695,0,0.0
2026-07-29,2026-07-01,14693,50,0.34
2026-08-06,2026-07-01,14693,50,0.34
2026-08-26,2026-08-01,14690,113,0.77
