owner,facilities,states,state_list,avg_overall_rating,roles
Name not published in the CMS file,28,6,CA MT NV OR SD WA,2.41,INDIRECT OWNERSHIP INTEREST
EMSIR LLC,7,1,PA,2.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST; INDIRECT OWNERSHIP INTEREST
LADS AVENUE ASSOCIATES LLC,6,1,PA,1.5,5% OR GREATER INDIRECT OWNERSHIP INTEREST; INDIRECT OWNERSHIP INTEREST
2020 GSR DYNASTY LLC,5,2,OH PA,1.4,5% OR GREATER INDIRECT OWNERSHIP INTEREST
AH DYNASTY LLC,5,2,OH PA,1.8,5% OR GREATER INDIRECT OWNERSHIP INTEREST; INDIRECT OWNERSHIP INTEREST
KJA PINNACLE LLC,4,1,PA,1.33,5% OR GREATER INDIRECT OWNERSHIP INTEREST
KJA UPMC4 LLC,4,1,PA,2.5,5% OR GREATER INDIRECT OWNERSHIP INTEREST
CONTINENTAL MERGER SUB LLC,3,2,MI OH,3.67,5% OR GREATER INDIRECT OWNERSHIP INTEREST
GAHC3 TRILOGY JV LLC,3,2,MI OH,3.67,5% OR GREATER INDIRECT OWNERSHIP INTEREST
TRILOGY HEALTHCARE HOLDINGS INC,3,2,MI OH,3.67,5% OR GREATER INDIRECT OWNERSHIP INTEREST
TRILOGY OPCO LLC,3,2,MI OH,3.67,5% OR GREATER DIRECT OWNERSHIP INTEREST
"ARBORETA HEALTHCARE, INC",2,1,IA,2.5,5% OR GREATER INDIRECT OWNERSHIP INTEREST; OPERATIONAL/MANAGERIAL CONTROL
GAHC4 TRILOGY JV LLC,2,2,MI OH,3.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
GSR DYNASTY LLC,2,2,OH PA,2.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST; INDIRECT OWNERSHIP INTEREST
LIMESTONE ENTERPRISES LLC,2,1,PA,2.0,5% OR GREATER DIRECT OWNERSHIP INTEREST
NORTHSTAR HEALTHCARE INCOME INC,2,2,MI OH,3.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
"TRILOGY HOLDINGS NT-HCI, LLC",2,2,MI OH,3.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
TRILOGY INVESTORS LLC,2,2,MI OH,3.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
AG GROUP ASSOCIATES LLC,1,1,PA,1.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
BIRCHWOOD HEALTHCARE PARTNERS LLC,1,1,IA,3.0,INDIRECT OWNERSHIP INTEREST; 5% OR GREATER INDIRECT OWNERSHIP INTEREST; OPERATIONAL/MANAGERIAL CONTROL
BSL MEADOW RIDGE INVESTORS LLC,1,1,CT,5.0,5% OR GREATER DIRECT OWNERSHIP INTEREST
"EAZ OPERATING COMPANY, LLC",1,1,PA,1.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
EMBASSY HEALTHCARE HOLDINGS INC,1,1,PA,1.0,5% OR GREATER DIRECT OWNERSHIP INTEREST
GROVE CITY PA HOLDCO LLC,1,1,PA,2.0,5% OR GREATER DIRECT OWNERSHIP INTEREST
"HELP FOR THE KIDS, LLC",1,1,PA,1.0,5% OR GREATER INDIRECT OWNERSHIP INTEREST
