state,facilities,facilities_with_reported_hours,pct_at_or_above_rn_floor,pct_at_or_above_aide_floor,pct_at_or_above_total_floor,pct_at_or_above_all_three,facilities_at_or_above_all_three,avg_total_nurse_hprd,avg_rn_hprd,avg_aide_hprd,suppressed
AK,20,16,100.0,87.5,100.0,87.5,14,6.69,2.08,3.95,False
AL,224,221,66.5,50.2,74.2,33.5,74,3.88,0.65,2.44,False
AR,221,218,15.6,62.4,85.3,10.6,23,4.03,0.41,2.67,False
AZ,140,136,59.6,26.5,67.6,19.9,27,3.97,0.7,2.23,False
CA,1165,1128,42.2,78.7,98.1,33.4,377,4.52,0.67,2.65,False
CO,210,203,78.8,23.6,50.2,23.2,47,3.72,0.82,2.22,False
CT,191,185,58.9,23.8,68.1,20.0,37,3.73,0.69,2.22,False
DC,17,15,100.0,60.0,93.3,60.0,9,4.77,1.55,2.59,False
DE,44,43,86.0,20.9,100.0,20.9,9,4.35,0.97,2.4,False
FL,694,679,63.3,21.4,71.7,18.3,124,3.82,0.73,2.31,False
GA,356,343,35.0,19.5,45.8,8.5,29,3.56,0.5,2.14,False
GU,1,1,100.0,100.0,100.0,100.0,1,7.72,2.48,3.68,True
HI,43,41,100.0,70.7,97.6,70.7,29,4.97,1.75,2.88,False
IA,387,379,73.6,49.1,66.0,38.5,146,3.82,0.74,2.51,False
ID,80,79,86.1,41.8,82.3,38.0,30,4.04,0.86,2.44,False
IL,666,652,57.4,20.4,37.1,17.2,112,3.45,0.72,2.09,False
IN,507,501,61.5,19.0,57.1,11.8,59,3.68,0.67,2.23,False
KS,296,285,69.1,63.2,80.4,48.1,137,4.07,0.71,2.7,False
KY,267,259,71.0,28.6,70.3,22.4,58,3.95,0.79,2.36,False
LA,265,253,4.0,30.0,64.0,1.6,4,3.73,0.3,2.27,False
MA,341,335,58.8,20.3,75.2,14.6,49,3.86,0.65,2.26,False
MD,221,218,78.9,12.8,63.8,12.8,28,3.87,0.84,2.12,False
ME,78,78,97.4,80.8,97.4,79.5,62,4.34,1.05,2.83,False
MI,422,415,71.8,26.7,77.1,23.9,99,3.99,0.78,2.33,False
MN,338,328,95.4,53.7,82.3,53.0,174,4.19,1.06,2.52,False
MO,487,467,23.8,32.5,42.4,11.3,53,3.43,0.46,2.29,False
MS,202,196,53.1,38.8,83.7,26.0,51,4.18,0.64,2.43,False
MT,61,58,84.5,51.7,60.3,46.6,27,4.05,0.98,2.57,False
NC,419,404,43.1,26.7,55.0,15.8,64,3.83,0.61,2.34,False
ND,72,70,95.7,80.0,88.6,77.1,54,4.42,0.93,2.97,False
NE,180,170,61.2,62.9,74.1,42.4,72,3.98,0.67,2.64,False
NH,73,72,88.9,33.3,61.1,31.9,23,3.9,0.78,2.34,False
NJ,348,341,49.9,19.4,61.3,15.8,54,3.85,0.68,2.23,False
NM,68,66,53.0,22.7,45.5,16.7,11,3.53,0.63,2.21,False
NV,66,63,74.6,30.2,71.4,30.2,19,4.3,1.09,2.37,False
NY,593,582,54.6,17.7,50.5,14.1,82,3.62,0.71,2.15,False
OH,922,907,59.1,13.2,57.2,10.7,97,3.69,0.64,2.09,False
OK,283,259,8.5,52.1,68.0,5.0,13,3.79,0.34,2.53,False
OR,128,125,64.0,99.2,99.2,64.0,80,5.03,0.72,3.4,False
PA,656,637,65.0,20.7,62.6,19.5,124,3.89,0.79,2.19,False
PR,9,8,100.0,0.0,50.0,0.0,0,3.8,3.01,0.0,True
RI,72,69,76.8,37.7,62.3,31.9,22,3.71,0.76,2.46,False
SC,187,184,44.6,23.9,54.3,18.5,34,3.83,0.63,2.19,False
SD,96,91,81.3,44.0,62.6,39.6,36,3.79,0.8,2.52,False
TN,303,302,47.7,15.6,66.2,7.6,23,3.8,0.6,2.12,False
TX,1177,1141,19.2,9.6,28.7,4.9,56,3.39,0.43,2.0,False
UT,97,90,96.7,30.0,71.1,30.0,27,4.07,1.25,2.35,False
VA,289,283,47.7,16.3,47.3,13.8,39,3.76,0.69,2.07,False
VT,33,31,83.9,61.3,100.0,51.6,16,4.22,0.8,2.54,False
WA,193,188,93.6,54.8,96.3,51.1,96,4.37,0.94,2.66,False
WI,323,317,93.7,48.9,84.2,47.6,151,4.21,0.99,2.58,False
WV,123,121,72.7,15.7,49.6,12.4,15,3.66,0.73,2.04,False
WY,36,35,82.9,40.0,62.9,37.1,13,3.87,0.94,2.43,False
