state,first_snapshot,facilities_first,pct_all_three_first,avg_total_first,latest_snapshot,facilities_latest,pct_all_three_latest,avg_total_latest,change_in_pct_all_three,suppressed
AK,2019-01-17,18,100.0,7.06,2026-08-26,20,87.5,6.69,-12.5,False
AL,2019-01-17,227,19.4,3.99,2026-08-26,224,33.5,3.88,14.1,False
AR,2019-01-17,231,3.9,4.15,2026-08-26,221,10.6,4.03,6.7,False
AZ,2019-01-17,147,32.2,4.34,2026-08-26,140,19.9,3.97,-12.3,False
CA,2019-01-17,1198,23.2,4.31,2026-08-26,1165,33.4,4.52,10.2,False
CO,2019-01-17,228,27.3,3.93,2026-08-26,210,23.2,3.72,-4.1,False
CT,2019-01-17,223,21.7,3.73,2026-08-26,191,20.0,3.73,-1.7,False
DC,2019-01-17,18,61.1,4.96,2026-08-26,17,60.0,4.77,-1.1,False
DE,2019-01-17,46,28.9,4.47,2026-08-26,44,20.9,4.35,-8.0,False
FL,2019-01-17,693,59.4,4.33,2026-08-26,694,18.3,3.82,-41.1,False
GA,2019-01-17,360,3.7,3.57,2026-08-26,356,8.5,3.56,4.8,False
GU,2019-01-17,1,100.0,9.55,2026-08-26,1,100.0,7.72,0.0,True
HI,2019-01-17,45,73.7,4.49,2026-08-26,43,70.7,4.97,-3.0,False
IA,2019-01-17,439,28.9,3.7,2026-08-26,387,38.5,3.82,9.6,False
ID,2019-01-17,81,52.1,4.55,2026-08-26,80,38.0,4.04,-14.1,False
IL,2019-01-17,731,16.2,3.44,2026-08-26,666,17.2,3.45,1.0,False
IN,2019-01-17,550,10.5,3.65,2026-08-26,507,11.8,3.68,1.3,False
KS,2019-01-17,333,43.6,4.01,2026-08-26,296,48.1,4.07,4.5,False
KY,2019-01-17,283,18.5,4.01,2026-08-26,267,22.4,3.95,3.9,False
LA,2019-01-17,277,1.9,3.73,2026-08-26,265,1.6,3.73,-0.3,False
MA,2019-01-17,390,17.2,3.76,2026-08-26,341,14.6,3.86,-2.6,False
MD,2019-01-17,228,22.0,4.02,2026-08-26,221,12.8,3.87,-9.2,False
ME,2019-01-17,95,81.3,4.43,2026-08-26,78,79.5,4.34,-1.8,False
MI,2019-01-17,442,33.8,4.1,2026-08-26,422,23.9,3.99,-9.9,False
MN,2019-01-17,377,53.6,4.13,2026-08-26,338,53.0,4.19,-0.6,False
MO,2019-01-17,522,12.8,3.57,2026-08-26,487,11.3,3.43,-1.5,False
MS,2019-01-17,205,20.1,4.11,2026-08-26,202,26.0,4.18,5.9,False
MT,2019-01-17,73,31.7,3.69,2026-08-26,61,46.6,4.05,14.9,False
NC,2019-01-17,429,16.1,3.81,2026-08-26,419,15.8,3.83,-0.3,False
ND,2019-01-17,80,68.4,4.37,2026-08-26,72,77.1,4.42,8.7,False
NE,2019-01-17,212,44.4,4.02,2026-08-26,180,42.4,3.98,-2.0,False
NH,2019-01-17,74,36.6,3.93,2026-08-26,73,31.9,3.9,-4.7,False
NJ,2019-01-17,364,15.3,3.79,2026-08-26,348,15.8,3.85,0.5,False
NM,2019-01-17,75,15.1,3.67,2026-08-26,68,16.7,3.53,1.6,False
NV,2019-01-17,61,37.0,4.27,2026-08-26,66,30.2,4.3,-6.8,False
NY,2019-01-17,619,19.3,3.73,2026-08-26,593,14.1,3.62,-5.2,False
OH,2019-01-17,970,11.6,3.69,2026-08-26,922,10.7,3.69,-0.9,False
OK,2019-01-17,298,6.9,3.64,2026-08-26,283,5.0,3.79,-1.9,False
OR,2019-01-17,135,71.8,4.74,2026-08-26,128,64.0,5.03,-7.8,False
PA,2019-01-17,696,17.7,3.82,2026-08-26,656,19.5,3.89,1.8,False
PR,2019-01-17,6,0.0,4.61,2026-08-26,9,0.0,3.8,0.0,True
RI,2019-01-17,81,34.6,3.61,2026-08-26,72,31.9,3.71,-2.7,False
SC,2019-01-17,190,22.5,4.12,2026-08-26,187,18.5,3.83,-4.0,False
SD,2019-01-17,108,30.8,3.6,2026-08-26,96,39.6,3.79,8.8,False
TN,2019-01-17,316,7.4,3.84,2026-08-26,303,7.6,3.8,0.2,False
TX,2019-01-17,1230,5.1,3.46,2026-08-26,1177,4.9,3.39,-0.2,False
UT,2019-01-17,102,43.4,4.17,2026-08-26,97,30.0,4.07,-13.4,False
VA,2019-01-17,286,15.1,3.79,2026-08-26,289,13.8,3.76,-1.3,False
VT,2019-01-17,36,31.4,4.09,2026-08-26,33,51.6,4.22,20.2,False
WA,2019-01-17,213,39.6,4.35,2026-08-26,193,51.1,4.37,11.5,False
WI,2019-01-17,374,45.9,3.98,2026-08-26,323,47.6,4.21,1.7,False
WV,2019-01-17,124,9.2,3.7,2026-08-26,123,12.4,3.66,3.2,False
WY,2019-01-17,38,36.4,4.11,2026-08-26,36,37.1,3.87,0.7,False
