snapshot_year,snapshot_date,ownership_category,facilities,facilities_with_reported_hours,pct_at_or_above_rn_floor,pct_at_or_above_aide_floor,pct_at_or_above_total_floor,pct_at_or_above_all_three,facilities_at_or_above_all_three,avg_total_nurse_hprd,avg_rn_hprd,avg_aide_hprd
2019,2019-01-17,For profit,10914,10414,44.7,26.8,56.8,14.4,1503,3.69,0.59,2.21
2019,2019-01-17,Non profit,3625,3440,71.9,57.8,83.4,44.6,1533,4.34,0.89,2.61
2019,2019-01-17,Government,1038,955,59.3,50.5,74.1,39.1,373,4.22,0.77,2.6
2019,2019-01-17,Unknown,1,1,0.0,0.0,0.0,0.0,0,2.37,0.36,1.34
2020,2020-01-09,For profit,10807,10488,46.6,26.0,56.8,14.8,1556,3.68,0.6,2.2
2020,2020-01-09,Non profit,3631,3502,74.1,54.7,82.5,43.6,1527,4.33,0.92,2.58
2020,2020-01-09,Government,1016,957,61.9,51.9,74.1,40.4,387,4.25,0.8,2.6
2021,2021-01-27,For profit,10771,10407,54.3,28.5,63.1,18.6,1936,3.81,0.66,2.21
2021,2021-01-27,Non profit,3599,3422,80.9,56.9,84.2,49.4,1689,4.52,1.01,2.62
2021,2021-01-27,Government,970,899,66.3,54.4,79.3,43.3,389,4.39,0.85,2.65
2022,2022-01-27,For profit,10750,10463,47.7,21.5,49.2,12.8,1342,3.56,0.61,2.07
2022,2022-01-27,Non profit,3526,3386,76.5,46.6,77.7,38.9,1316,4.26,0.95,2.46
2022,2022-01-27,Government,962,893,64.4,47.0,70.5,38.9,347,4.21,0.83,2.52
2023,2023-01-02,For profit,10731,10418,42.9,21.1,49.8,11.1,1153,3.57,0.57,2.11
2023,2023-01-02,Non profit,3426,3300,73.8,46.9,75.9,38.8,1281,4.24,0.9,2.48
2023,2023-01-02,Government,950,889,60.5,46.2,69.1,37.6,334,4.13,0.8,2.48
2024,2024-01-31,For profit,10703,10462,42.4,22.1,52.1,11.1,1160,3.6,0.57,2.15
2024,2024-01-31,Non profit,3261,3140,73.4,51.0,79.5,41.1,1291,4.28,0.89,2.54
2024,2024-01-31,Government,942,886,58.0,51.5,70.3,39.3,348,4.17,0.79,2.54
2025,2025-02-26,For profit,10767,10515,44.9,24.5,56.9,12.0,1258,3.66,0.58,2.2
2025,2025-02-26,Non profit,3053,2944,75.4,56.5,83.7,47.4,1394,4.4,0.92,2.63
2025,2025-02-26,Government,962,914,59.4,52.4,70.8,41.5,379,4.25,0.8,2.61
2026,2026-01-14,For profit,10832,10627,47.9,26.9,61.0,13.7,1461,3.72,0.6,2.24
2026,2026-01-14,Non profit,2938,2844,77.4,59.7,85.9,50.0,1423,4.45,0.94,2.67
2026,2026-01-14,Government,943,895,61.6,52.0,71.6,42.6,381,4.29,0.82,2.62
