snapshot_date,cms_vintage,facilities,facilities_with_reported_hours,pct_at_or_above_rn_floor,pct_at_or_above_aide_floor,pct_at_or_above_total_floor,pct_at_or_above_all_three,facilities_at_or_above_all_three,avg_total_nurse_hprd,avg_rn_hprd,avg_aide_hprd
2019-01-17,2019-01-01,15578,14810,52.0,35.5,64.1,23.0,3409,3.88,0.67,2.33
2019-02-09,2019-02-01,15579,14800,51.9,35.5,64.1,23.0,3402,3.88,0.67,2.33
2019-03-09,2019-03-01,15580,14798,51.9,35.5,64.1,23.0,3402,3.88,0.67,2.33
2019-04-09,2019-04-01,15563,14847,52.4,34.6,64.5,22.6,3351,3.87,0.68,2.32
2019-05-09,2019-05-01,15538,14824,52.3,34.6,64.5,22.5,3341,3.87,0.68,2.32
2019-06-09,2019-06-01,15527,14793,52.3,34.6,64.4,22.4,3321,3.87,0.67,2.31
2019-07-09,2019-07-01,15530,14966,53.9,33.2,62.9,22.4,3356,3.85,0.69,2.29
2019-08-09,2019-08-01,15512,14958,54.0,33.2,62.9,22.4,3351,3.85,0.69,2.29
2019-09-09,2019-09-01,15511,14930,54.0,33.2,62.9,22.4,3346,3.85,0.69,2.29
2019-10-09,2019-10-01,15491,14915,53.9,34.3,63.7,23.4,3496,3.87,0.69,2.31
2019-12-17,2019-11-01,15471,14966,53.9,34.4,63.7,23.4,3508,3.87,0.69,2.31
2020-01-09,2020-01-01,15454,14947,54.0,34.4,64.0,23.2,3470,3.87,0.69,2.31
2020-02-09,2020-02-01,15450,14912,54.0,34.3,63.9,23.2,3455,3.87,0.69,2.31
2020-03-09,2020-03-01,15446,14874,54.0,34.3,63.9,23.1,3435,3.87,0.69,2.31
2020-04-09,2020-04-01,15436,14871,54.1,33.9,63.7,23.0,3422,3.86,0.69,2.3
2020-05-09,2020-05-01,15427,14871,54.0,33.9,63.6,23.0,3424,3.86,0.69,2.3
2020-06-17,2020-06-01,15421,14889,54.0,33.9,63.6,23.0,3430,3.86,0.69,2.3
2020-07-09,2020-07-01,15404,14912,54.0,34.0,63.7,23.1,3440,3.86,0.69,2.3
2020-08-09,2020-08-01,15377,14908,54.0,34.0,63.7,23.1,3439,3.86,0.69,2.3
2020-09-09,2020-09-01,15361,14904,54.1,34.0,63.7,23.1,3442,3.86,0.69,2.3
2020-10-09,2020-10-01,15350,14753,59.7,39.4,70.3,28.9,4260,4.05,0.75,2.38
2020-11-21,2020-11-01,15348,14738,59.7,39.4,70.3,28.9,4253,4.05,0.75,2.38
2020-12-21,2020-11-01,15348,14738,59.7,39.4,70.3,28.9,4253,4.05,0.75,2.38
2021-01-27,2021-01-01,15340,14728,61.2,36.7,69.0,27.3,4014,4.01,0.75,2.33
2021-02-27,2021-02-01,15331,14713,61.3,36.7,69.0,27.3,4010,4.01,0.75,2.33
2021-03-27,2021-03-01,15331,14709,61.3,36.7,69.0,27.3,4012,4.01,0.75,2.33
2021-04-27,2021-04-01,15328,14645,62.7,39.4,72.8,28.9,4226,4.08,0.77,2.37
2021-05-27,2021-05-01,15315,14626,62.7,39.4,72.8,28.8,4217,4.08,0.77,2.37
2021-06-27,2021-06-01,15302,14608,62.6,39.3,72.7,28.8,4204,4.08,0.77,2.37
2021-07-27,2021-07-01,15298,14780,62.5,38.5,72.5,28.7,4249,4.09,0.77,2.36
2021-08-27,2021-08-01,15283,14752,62.4,38.5,72.5,28.7,4237,4.09,0.77,2.36
2021-09-27,2021-09-01,15266,14729,62.4,38.5,72.5,28.7,4227,4.09,0.77,2.36
2021-10-27,2021-10-01,15270,14689,58.5,31.9,63.4,23.2,3403,3.89,0.73,2.26
2021-11-27,2021-10-01,15270,14689,58.5,31.9,63.4,23.2,3403,3.89,0.73,2.26
2021-12-27,2021-11-01,15264,14690,58.5,31.9,63.3,23.1,3396,3.89,0.73,2.26
2022-01-27,2022-01-01,15238,14742,55.3,28.8,57.1,20.4,3005,3.76,0.7,2.19
2022-02-27,2022-02-01,15224,14724,55.3,28.9,57.1,20.4,3000,3.76,0.7,2.19
2022-03-27,2022-03-01,15216,14718,55.3,28.9,57.1,20.4,2999,3.76,0.7,2.19
2022-04-27,2022-04-01,15203,14550,53.1,29.2,57.3,19.9,2890,3.76,0.68,2.2
2022-05-27,2022-05-01,15197,14563,53.1,29.3,57.3,19.9,2895,3.76,0.68,2.2
2022-06-27,2022-06-01,15190,14545,53.1,29.3,57.3,19.9,2894,3.76,0.68,2.2
2022-07-27,2022-07-01,15178,14617,52.9,28.9,57.4,19.9,2916,3.77,0.68,2.2
2022-08-27,2022-08-01,15169,14613,52.9,28.9,57.5,20.0,2916,3.77,0.68,2.2
2022-09-27,2022-09-01,15151,14540,52.8,28.8,57.4,19.9,2892,3.77,0.68,2.2
2022-10-27,2022-10-01,15147,14529,51.5,28.7,57.3,19.5,2826,3.76,0.67,2.22
2022-11-27,2022-10-01,15147,14529,51.5,28.7,57.3,19.5,2826,3.76,0.67,2.22
2022-12-02,2022-11-01,15136,14491,51.4,28.7,57.2,19.4,2811,3.76,0.66,2.22
2023-01-02,2023-01-01,15107,14607,50.9,28.5,56.9,18.9,2768,3.75,0.66,2.22
2023-02-21,2023-02-01,15090,14615,51.0,28.5,56.9,18.9,2768,3.75,0.66,2.22
2023-03-02,2023-03-01,15082,14576,50.9,28.5,56.8,18.9,2754,3.75,0.66,2.22
2023-04-26,2023-04-01,15076,14606,49.6,27.9,56.0,18.0,2634,3.74,0.65,2.21
2023-05-30,2023-05-01,15046,14596,49.6,28.0,56.0,18.0,2633,3.74,0.65,2.21
2023-06-27,2023-06-01,15018,14581,49.6,27.9,56.0,18.0,2629,3.74,0.65,2.21
2023-07-25,2023-07-01,15010,14611,51.1,27.9,56.7,18.5,2708,3.76,0.66,2.22
2023-08-30,2023-08-01,14993,14597,51.1,27.9,56.8,18.5,2704,3.76,0.66,2.22
